ingredient_name,rank,time_stamp,product_title,origial_price,price,unit,measure,unit_price,gram_price,discount_rate,badage_rocket,review_count,url,image
고추기름,6,2024-07-29 16:16:26,"오뚜기옛날 고추맛 기름 병, 80ml, 3개",,6430,100,ml,2679,26.79,,로켓배송,240,https://www.coupang.com/vp/products/7510828373?itemId=19679439228&vendorItemId=86784844725,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/ab987f5a-de4b-4ed2-9d23-ebc303dec63d3293770608116011599.png
고추기름,7,2024-07-29 16:16:26,"해표 고추맛 기름, 1.8L, 8개",,60900,100,ml,423,4.23,,,2396,https://www.coupang.com/vp/products/72470?itemId=2877871685&vendorItemId=81354691042,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ca19/5fd5685b9b2352402868561e569a175407976fb1ef990419a4caf267d16e.png
고추기름,8,2024-07-29 16:16:26,"해표 요리백미 고추맛기름, 1.8L, 2개",26250,17280,100,ml,480,4.8,34%,,2396,https://www.coupang.com/vp/products/72470?itemId=519037897&vendorItemId=86139024674,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7c97/b03668aa13f23fcba9f44e1ca8dbc2e7f26847720e8e50d3f823bc4ef023.png
고추기름,9,2024-07-29 16:16:26,"꼬손 고추씨기름, 1개, 160ml",,9900,100,ml,6188,61.88,,로켓배송,33,https://www.coupang.com/vp/products/7477669943?itemId=20053920935&vendorItemId=87150075418,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/09/11/14/1/0da18663-d14f-4e78-ba7f-c284a10d5671.jpg
고추기름,10,2024-07-29 16:16:26,"오쉐프 고추맛기름, 4개, 1.5L",32900,32300,100,ml,538,5.38,1%,로켓배송,2592,https://www.coupang.com/vp/products/7739315367?itemId=19443151169&vendorItemId=86554128580,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/186fb438-3f95-41c6-a44b-798ebdb32a078286316436308434018.png
고추장,1,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 2kg, 1개",33000,12170,100,g,609,6.09,63%,로켓배송,92791,https://www.coupang.com/vp/products/7235436619?itemId=14151260320&vendorItemId=3001106979,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/128071451500547-1a6c2003-c157-4f88-b19b-efda58643f1a.jpg
고추장,2,2024-07-29 16:16:27,"해표 순창궁 태양초 고추장, 3kg, 1개",8900,8700,100,g,290,2.9,2%,로켓배송,7891,https://www.coupang.com/vp/products/8180142761?itemId=20863867994&vendorItemId=85813327066,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1249392455965700-301589c8-a844-4f3a-9903-a99bba9032a8.jpg
고추장,3,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 3kg, 1개",47000,17500,100,g,583,5.83,62%,로켓배송,24799,https://www.coupang.com/vp/products/4549361197?itemId=3961707225&vendorItemId=71946104689,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2010617571580590-73bb1962-8c9a-46fe-8ad6-6581a98a1357.jpg
고추장,4,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 3kg, 1개",47000,17500,100,g,583,5.83,62%,로켓배송,12679,https://www.coupang.com/vp/products/8202533487?itemId=9820122451&vendorItemId=3001106982,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2010617571580590-73bb1962-8c9a-46fe-8ad6-6581a98a1357.jpg
고추장,5,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 500g, 1개",12000,6000,100,g,1200,12.0,50%,로켓배송,12026,https://www.coupang.com/vp/products/8243887510?itemId=15066085639&vendorItemId=3000145295,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3734125558284118-bb75a3fe-0029-42c7-9870-9369044c8ad3.jpg
고추장,6,2024-07-29 16:16:27,"대상 청정원 순창 우리쌀 고추장, 1kg, 1개",26000,13360,100,g,1336,13.36,48%,로켓배송,4795,https://www.coupang.com/vp/products/6529883355?itemId=17656542256&vendorItemId=84822073265,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3124545505757675-5b29290c-4417-4b90-8d68-557957820d36.jpg
고추장,7,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 1kg, 1개",19000,10640,100,g,1064,10.64,43%,로켓배송,92791,https://www.coupang.com/vp/products/7235436619?itemId=18952125409&vendorItemId=3000138035,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4093152797783881-59e4fa73-b32b-4ffc-94ba-821384a53fcc.jpg
고추장,8,2024-07-29 16:16:27,"청정원순창 100% 현미 태양초 찰고추장, 2kg, 2개",66000,22840,100,g,571,5.71,65%,로켓배송,92791,https://www.coupang.com/vp/products/7235436619?itemId=21571047523&vendorItemId=85320829288,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3804777066878270-cf55c0bb-cc45-4c49-b5cc-95bc35a6e80b.png
고추장,9,2024-07-29 16:16:27,"해표 순창궁 태양초고추장, 14kg, 1개",29000,26680,100,g,191,1.91,8%,로켓배송,2204,https://www.coupang.com/vp/products/8072728579?itemId=346924589&vendorItemId=85717010423,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/26266206601838-abb50f02-5ef9-4fc5-b98f-0ba491f2fe1b.png
